ユーザーID,性別,年齢,利用日数,視聴回数,お気に入りのカテゴリ,利用デバイス,満足度,自由回答
1,男,70,119,14,ドキュメンタリー,タブレット,満足,操作性がとても良く、ストリームも安定しています。
2,女,60,111,409,ドラマ,タブレット,満足,操作性がとても良く、ストリームも安定しています。
3,女,27,259,329,ミュージック,TV,不満,最近の新作が少なく感じます。
4,女,46,313,450,ミュージック,TV,やや不満,コンテンツのバリエーションが豊富で良いです。
5,男,33,237,19,ホラー,スマホ,やや満足,料金プランをもう少し分かりやすくしてほしい。
6,男,53,361,443,ドラマ,タブレット,満足,操作性がとても良く、ストリームも安定しています。
7,男,38,219,490,ミュージック,タブレット,やや満足,操作性がとても良く、ストリームも安定しています。
8,男,42,289,53,コメディ,PC,やや不満,最近の新作が少なく感じます。
9,女,73,259,426,コメディ,PC,不満,操作性がとても良く、ストリームも安定しています。
10,男,55,116,149,アクション,タブレット,満足,家族で利用していますが、プロフィール機能が便利です。
11,女,46,23,175,SF,PC,やや満足,家族で利用していますが、プロフィール機能が便利です。
12,男,21,357,298,SF,PC,不満,家族で利用していますが、プロフィール機能が便利です。
13,女,20,335,399,ミュージック,スマホ,やや満足,料金プランをもう少し分かりやすくしてほしい。
14,女,40,148,500,コメディ,PC,やや満足,操作性がとても良く、ストリームも安定しています。
15,男,57,252,112,コメディ,タブレット,やや満足,最近の新作が少なく感じます。
16,女,17,201,148,ドキュメンタリー,スマホ,やや満足,コンテンツのバリエーションが豊富で良いです。
17,女,52,26,244,コメディ,PC,満足,家族で利用していますが、プロフィール機能が便利です。
18,女,72,264,371,SF,スマホ,やや不満,家族で利用していますが、プロフィール機能が便利です。
19,男,30,298,227,SF,TV,やや満足,家族で利用していますが、プロフィール機能が便利です。
20,男,74,313,391,ホラー,タブレット,不満,操作性がとても良く、ストリームも安定しています。
21,女,34,51,302,コメディ,PC,やや満足,料金プランをもう少し分かりやすくしてほしい。
22,女,65,315,289,ミュージック,TV,満足,コンテンツのバリエーションが豊富で良いです。
23,女,59,228,372,ミュージック,スマホ,やや不満,料金プランをもう少し分かりやすくしてほしい。
24,男,19,102,141,ドキュメンタリー,スマホ,不満,料金プランをもう少し分かりやすくしてほしい。
25,男,21,278,262,アクション,TV,やや不満,コンテンツのバリエーションが豊富で良いです。
26,女,43,88,424,ホラー,TV,満足,コンテンツのバリエーションが豊富で良いです。
27,女,45,76,145,アニメ,スマホ,やや不満,最近の新作が少なく感じます。
28,男,71,230,118,コメディ,スマホ,満足,操作性がとても良く、ストリームも安定しています。
29,女,68,265,105,ドキュメンタリー,PC,満足,料金プランをもう少し分かりやすくしてほしい。
30,男,47,297,92,ミュージック,タブレット,満足,コンテンツのバリエーションが豊富で良いです。
31,男,41,310,140,アニメ,タブレット,やや不満,コンテンツのバリエーションが豊富で良いです。
32,男,42,149,109,ドラマ,TV,満足,料金プランをもう少し分かりやすくしてほしい。
33,男,46,362,94,ドキュメンタリー,TV,満足,料金プランをもう少し分かりやすくしてほしい。
34,女,56,20,169,アクション,スマホ,満足,家族で利用していますが、プロフィール機能が便利です。
35,女,27,67,368,SF,PC,やや満足,コンテンツのバリエーションが豊富で良いです。
36,女,37,292,424,ホラー,PC,やや不満,家族で利用していますが、プロフィール機能が便利です。
37,男,27,332,243,SF,スマホ,やや満足,最近の新作が少なく感じます。
38,男,35,256,81,コメディ,TV,やや不満,料金プランをもう少し分かりやすくしてほしい。
39,女,42,231,449,ミュージック,TV,不満,最近の新作が少なく感じます。
40,男,57,245,333,ドラマ,TV,やや不満,操作性がとても良く、ストリームも安定しています。
41,女,73,44,331,ドキュメンタリー,タブレット,不満,最近の新作が少なく感じます。
42,男,60,43,335,SF,TV,やや不満,家族で利用していますが、プロフィール機能が便利です。
43,男,28,166,355,アクション,タブレット,満足,家族で利用していますが、プロフィール機能が便利です。
44,女,55,32,178,ホラー,TV,満足,操作性がとても良く、ストリームも安定しています。
45,男,65,160,159,ミュージック,スマホ,やや満足,操作性がとても良く、ストリームも安定しています。
46,女,48,113,151,アニメ,PC,不満,コンテンツのバリエーションが豊富で良いです。
47,男,67,129,127,ミュージック,PC,やや不満,料金プランをもう少し分かりやすくしてほしい。
48,男,25,102,431,アクション,TV,不満,家族で利用していますが、プロフィール機能が便利です。
49,男,20,328,325,ホラー,タブレット,やや満足,料金プランをもう少し分かりやすくしてほしい。
50,男,72,338,75,ドキュメンタリー,スマホ,やや不満,家族で利用していますが、プロフィール機能が便利です。
51,女,48,98,42,ホラー,PC,やや満足,料金プランをもう少し分かりやすくしてほしい。
52,女,59,71,476,コメディ,PC,不満,家族で利用していますが、プロフィール機能が便利です。
53,男,30,275,418,ドキュメンタリー,PC,やや不満,コンテンツのバリエーションが豊富で良いです。
54,女,63,208,78,SF,PC,満足,家族で利用していますが、プロフィール機能が便利です。
55,男,46,136,287,ドキュメンタリー,タブレット,満足,操作性がとても良く、ストリームも安定しています。
56,男,33,135,212,SF,PC,やや満足,コンテンツのバリエーションが豊富で良いです。
57,女,47,359,377,コメディ,スマホ,不満,コンテンツのバリエーションが豊富で良いです。
58,男,55,285,7,ホラー,スマホ,満足,操作性がとても良く、ストリームも安定しています。
59,女,68,187,126,コメディ,PC,満足,操作性がとても良く、ストリームも安定しています。
60,女,57,258,97,ドキュメンタリー,PC,やや不満,料金プランをもう少し分かりやすくしてほしい。
61,女,69,253,25,アニメ,TV,やや不満,家族で利用していますが、プロフィール機能が便利です。
62,男,56,77,232,ホラー,スマホ,やや不満,家族で利用していますが、プロフィール機能が便利です。
63,女,22,152,236,ドラマ,タブレット,やや満足,最近の新作が少なく感じます。
64,女,49,4,21,アニメ,タブレット,不満,料金プランをもう少し分かりやすくしてほしい。
65,男,66,307,71,アニメ,TV,満足,コンテンツのバリエーションが豊富で良いです。
66,男,71,37,472,コメディ,TV,やや不満,最近の新作が少なく感じます。
67,男,41,84,148,ホラー,スマホ,不満,料金プランをもう少し分かりやすくしてほしい。
68,男,52,183,282,ドキュメンタリー,スマホ,不満,操作性がとても良く、ストリームも安定しています。
69,男,25,256,15,ミュージック,スマホ,やや満足,家族で利用していますが、プロフィール機能が便利です。
70,男,40,222,344,ミュージック,PC,不満,最近の新作が少なく感じます。
71,女,58,141,342,ミュージック,PC,やや不満,コンテンツのバリエーションが豊富で良いです。
72,男,44,133,397,SF,TV,不満,操作性がとても良く、ストリームも安定しています。
73,男,43,207,27,ホラー,PC,やや満足,料金プランをもう少し分かりやすくしてほしい。
74,女,59,239,254,ミュージック,TV,満足,操作性がとても良く、ストリームも安定しています。
75,女,34,192,457,ドラマ,TV,やや不満,家族で利用していますが、プロフィール機能が便利です。
76,男,41,8,28,アニメ,タブレット,満足,料金プランをもう少し分かりやすくしてほしい。
77,男,35,163,193,コメディ,PC,やや不満,操作性がとても良く、ストリームも安定しています。
78,男,73,90,446,SF,PC,不満,操作性がとても良く、ストリームも安定しています。
79,女,19,189,424,ドラマ,タブレット,やや満足,最近の新作が少なく感じます。
80,男,47,237,68,ドキュメンタリー,TV,不満,料金プランをもう少し分かりやすくしてほしい。
81,男,26,357,279,アクション,タブレット,不満,コンテンツのバリエーションが豊富で良いです。
82,男,64,153,28,ドラマ,PC,やや満足,コンテンツのバリエーションが豊富で良いです。
83,女,33,211,130,アクション,TV,やや満足,料金プランをもう少し分かりやすくしてほしい。
84,女,66,344,314,ドラマ,タブレット,やや不満,最近の新作が少なく感じます。
85,男,17,235,311,アニメ,TV,やや不満,家族で利用していますが、プロフィール機能が便利です。
86,男,37,306,36,ドキュメンタリー,スマホ,不満,最近の新作が少なく感じます。
87,男,49,359,70,ホラー,スマホ,不満,家族で利用していますが、プロフィール機能が便利です。
88,男,61,189,469,ホラー,スマホ,不満,コンテンツのバリエーションが豊富で良いです。
89,男,18,9,383,ミュージック,PC,やや満足,コンテンツのバリエーションが豊富で良いです。
90,男,51,81,154,アクション,スマホ,やや不満,操作性がとても良く、ストリームも安定しています。
91,女,47,246,480,アニメ,タブレット,満足,料金プランをもう少し分かりやすくしてほしい。
92,男,39,332,446,アニメ,スマホ,不満,家族で利用していますが、プロフィール機能が便利です。
93,女,19,192,168,ドラマ,スマホ,やや不満,操作性がとても良く、ストリームも安定しています。
94,男,66,29,89,アニメ,TV,やや満足,コンテンツのバリエーションが豊富で良いです。
95,女,48,13,15,ミュージック,PC,やや満足,操作性がとても良く、ストリームも安定しています。
96,男,23,272,12,ドキュメンタリー,タブレット,やや不満,最近の新作が少なく感じます。
97,男,56,107,54,SF,PC,不満,コンテンツのバリエーションが豊富で良いです。
98,男,74,185,93,コメディ,タブレット,やや満足,料金プランをもう少し分かりやすくしてほしい。
99,女,46,274,272,アニメ,スマホ,やや不満,料金プランをもう少し分かりやすくしてほしい。
100,女,53,184,200,ミュージック,TV,やや満足,コンテンツのバリエーションが豊富で良いです。
